id,status,outer_qty,inner_qty,common_unit,item_name,pack_string,vendor,sku,parsed_pack,override_values
8d90a9e9-dbb6-45f5-887a-5bc3868e65c1,approved,96,500,ea,Toilet Paper,96/500 CT,pfg,235838,,
c0e330ff-5b68-427f-8b1b-2b99828eb13b,approved,10,100,ea,Cold Cup Lids,10/100 CT,pfg,603923,,
ff7ddddd-594f-4265-8303-a9cd1af8bca4,approved,12,14,oz,Digestive Cookies,12/14.1OZ,pfg,204867,,
96e54cba-6168-45e8-aa38-412594e868db,approved,1,25,lb,Dusting Flour,1/25 LB,pfg,557845,,
85c34d6a-066b-4814-8c3a-36df5a872186,approved,4,12,ea,Chocolate Chip Cookies,48/2OZ,pfg,820246,,
885af466-d155-4b22-a3bf-4aac7d44a959,approved,2,5,lb,Feta Cheese,2/5LB,pfg,361663,,
ab27a0a6-a1a8-473e-b8a2-83d688a522ca,approved,2,1,gal,Peroxide (Dispenser),2/.8 GA,pfg,529191,,
9e193793-3fa0-44f1-9e7f-59389f0d80a2,approved,6,1,lb,Fresh Mozzarella Sliced,6/1LB,pfg,638061,,
db8c16da-131f-4052-b641-7dae4ec11085,approved,4,5,lb,Gorgonzola,4/5LB,pfg,683850,,
a7b3dbb7-53e2-404e-bd4b-e836ded83031,approved,4,5,lb,Ricotta,4/5LB,pfg,537827,,
886c4ee5-0812-401b-be14-6be0eceb23c0,approved,6,5,lb,Shredded Mozzarella,6/5LB,pfg,1005947,,
fdff8672-f1a4-4d05-8a51-83ba1b1545a4,approved,1,36,ea,Hershey's Bars,1/36 CT,pfg,336055,,
b077d02a-7f2e-4400-a70c-f3ecb9b63c9d,approved,1,192,oz,Hot Honey,1/192 OZ,pfg,609447,,
c21e1434-2343-47bf-be1d-ae9f23b4d878,approved,8,5,lb,Italian Sausage,8/5LB,pfg,454609,,
4ce10e97-a5d8-4c47-bb67-3d1d13a405e3,approved,4,128,oz,Lemonade Base,4/128OZ,pfg,565284,,
c879f522-471d-4b59-8fcc-5a9a1ba980ff,approved,10,100,ea,Medium Gloves,10/100 CT,pfg,609025,,
64b18a32-74ef-4c02-91a5-ff87cd2b33bb,approved,8,4,lb,New Pesto,8/4 LB,pfg,1043068,,
bb95da0e-1a18-431f-96df-c81e37e76447,approved,1,5,lb,Oregano,1/5LB,pfg,261432,,
4c28f22c-9cb8-4a29-a1ae-85666c731363,approved,3,20,ea,Green Scrub Pads,3/20CT,pfg,41085,,
a21f665f-66df-49f8-9992-2569afd41f15,approved,4,1,gal,Ranch Dressing,4/1GA,pfg,54442,,
8fe9969d-34d0-4f61-8b51-70f1102bda6e,approved,10,33,oz,Black Olives,10/33OZ,pfg,189279,,
86ed269e-52c0-40ba-b4d4-bea81a9d3a8a,approved,20,50,ea,Small Paper Cups (16 oz),1/1000 CT,pfg,851417,,
09d9c41d-cc9d-4d27-a910-8c9778c27059,approved,1,24,ea,Lemon Pellegrino 11.2oz,24/330ML,pfg,803282,,
ec4a14b0-0ee8-49e8-8cab-025a3f6f092e,approved,4,1,gal,Caesar Dressing,4/1GA,pfg,30296,,
87ce4335-9577-4849-be81-e4149c8bf4b2,approved,24,,ea,Cauliflower Crust,24/6.9OZ,pfg,597098,,
7ea10846-806d-4d2e-8e2b-3c29ee55f8fb,approved,4,2.5,lb,Croutons,4/2.5 LB,pfg,321334,,
566a510a-3aef-493d-9df4-dd631718cca0,approved,2,1,gal,Dish Machine Detergent (Dispenser),2/1 GA,pfg,243538,,
ed76fbb8-7b28-46da-aad8-0235ac6acae5,approved,2,1,gal,Fruit/Veggie Wash (Dispenser),2/1GA,pfg,488267,,
3d775a8d-41eb-4b57-bb7e-f863d6a825a4,approved,4,1,gal,Frank's Red Hot Sauce,4/1 GA,pfg,268060,,
7198a655-2586-4645-8935-b98cdd4c1dc1,approved,1,5,lb,Garlic Cloves,1/5LB,pfg,283987,,
