Category,Metric Type (Internal ID),Display Label,Current Short Label,Your Preferred Abbreviation
Daily,sales_today,Sales,Sales,
Daily,sales_pace,Pace,Pace,
Daily,sales_projected_today,AI Goal EOD,AI EOD,
Daily,sales_last_week,Last Week,LW,
Daily,sales_last_year_day,Last Year,LY,
Daily,guest_count_today,Guests,Guests,
Daily,pizza_count_today,Pizzas,Pizzas,
Daily,avg_ticket,Avg Ticket,Avg$,
Daily,labor_percent_today,Labor %,Labor%,
Daily,labor_cost_today,Labor Cost,Labor$,
Daily,labor_hours_today,Hours,Hrs,
Weekly,sales_wtd,Sales WTD,WTD,
Weekly,sales_pace_week,Week Pace,Pace,
Weekly,sales_projected_week,AI Goal EOW,AI EOW,
Weekly,sales_prev_week,Last Week,LW,
Weekly,sales_last_year_week,Last Year,LY,
Weekly,guest_count_wtd,Guests WTD,Guests,
Weekly,pizza_count_wtd,Pizzas WTD,Pizzas,
Weekly,labor_percent_wtd,Labor % WTD,Labor%,
Weekly,labor_cost_wtd,Labor Cost WTD,Labor$,
Weekly,labor_hours_wtd,Hours WTD,Hrs,
Monthly,sales_mtd,Sales MTD,MTD,
Monthly,sales_pace_month,Month Pace,Pace,
Monthly,sales_projected_month,AI Goal EOM,AI EOM,
Monthly,sales_prev_month,Last Month,LM,
Monthly,sales_last_year_month,Last Year,LY,
Monthly,guest_count_mtd,Guests MTD,Guests,
Monthly,pizza_count_mtd,Pizzas MTD,Pizzas,
Monthly,labor_percent_mtd,Labor % MTD,Labor%,
Monthly,labor_cost_mtd,Labor Cost MTD,Labor$,
Monthly,labor_hours_mtd,Hours MTD,Hrs,
Personal,personal_hours_week,My Hours (Week),My Hrs,
Personal,personal_hours_payroll,My Hours (Payroll),Pay Hrs,
Personal,personal_pay_week,Est. Pay (Week),My Pay,
Personal,personal_pay_payroll,Est. Pay (Payroll),Pay $,
Payments Daily,payment_cash_today,Cash,Cash,
Payments Daily,payment_credit_card_today,Credit Card,CC,
Payments Daily,payment_olo_doordash_today,DoorDash,DD,
Payments Daily,payment_olo_ubereats_today,UberEats,UE,
Payments Daily,payment_olo_visa_today,OLO Visa,OLO V,
Payments Daily,payment_olo_mastercard_today,OLO MC,OLO MC,
Payments Daily,payment_olo_prepaid_today,OLO Prepaid,Prepaid,
Payments Daily,payment_olo_giftcard_today,OLO Gift Card,OLO GC,
Payments Daily,payment_svs_giftcard_today,SVS Gift Card,SVS GC,
Payments Daily %,payment_cash_today_pct,Cash %,Cash%,
Payments Daily %,payment_credit_card_today_pct,Credit Card %,CC%,
Payments Daily %,payment_olo_doordash_today_pct,DoorDash %,DD%,
Payments Daily %,payment_olo_ubereats_today_pct,UberEats %,UE%,
Payments Daily %,payment_olo_visa_today_pct,OLO Visa %,V%,
Payments Daily %,payment_olo_mastercard_today_pct,OLO MC %,MC%,
Payments Daily %,payment_olo_prepaid_today_pct,OLO Prepaid %,Pre%,
Payments Daily %,payment_olo_giftcard_today_pct,OLO GC %,OGC%,
Payments Daily %,payment_svs_giftcard_today_pct,SVS GC %,SGC%,
